Municipio,An~o,Poblacion
Hatillo,1990,32703
Hatillo,2000,38925
Hatillo,2010,41953
Hormigueros,1899,--
Hormigueros,1910,--
Hormigueros,1920,4584
Hormigueros,1930,4872
Hormigueros,1935,5700
Hormigueros,1940,6098
Hormigueros,1950,6916
Hormigueros,1960,7153
Hormigueros,1970,10827
Hormigueros,1980,14030
Hormigueros,1990,15212
Hormigueros,2000,16614
Hormigueros,2010,17250
Humacao,1899,22915
Humacao,1910,26678
Humacao,1920,20229
Humacao,1930,25466
Humacao,1935,28579
Humacao,1940,29833
Humacao,1950,34853
Humacao,1960,33381
Humacao,1970,36023
Humacao,1980,46134
Humacao,1990,55203
Humacao,2000,59035
Humacao,2010,58466
Isabela,1899,14888
Isabela,1910,16852
Isabela,1920,19809
Isabela,1930,23068
Isabela,1935,25407
Isabela,1940,25842
Isabela,1950,29113
Isabela,1960,28754
Isabela,1970,30430
Isabela,1980,37435
Isabela,1990,39147
Isabela,2000,44444
Isabela,2010,45631
Jayuya,1899,--
Jayuya,1910,--
Jayuya,1920,12463
Jayuya,1930,12223
Jayuya,1935,13933
Jayuya,1940,14589
Jayuya,1950,15113
Jayuya,1960,14633
Jayuya,1970,13588
Jayuya,1980,14722
Jayuya,1990,15527
Jayuya,2000,17318
Jayuya,2010,16642
Juana Díaz,1899,27896
Juana Díaz,1910,29157
Juana Díaz,1920,18529
Juana Díaz,1930,19516
Juana Díaz,1935,20694
Juana Díaz,1940,23396
Juana Díaz,1950,27697
Juana Díaz,1960,30043
Juana Díaz,1970,36270
Juana Díaz,1980,43505
Juana Díaz,1990,45198
Juana Díaz,2000,50531
Juana Díaz,2010,50747
Juncos,1899,8429
Juncos,1910,11692
Juncos,1920,13151
Juncos,1930,17469
Juncos,1935,19443
Juncos,1940,19464
Juncos,1950,21654
Juncos,1960,21496
Juncos,1970,21814
Juncos,1980,25397
Juncos,1990,30612
Juncos,2000,36452
Juncos,2010,40290
Lajas,1899,8789
Lajas,1910,11071
Lajas,1920,11908
Lajas,1930,12454
Lajas,1935,13608
Lajas,1940,14736
Lajas,1950,16326
Lajas,1960,15375
Lajas,1970,16545
Lajas,1980,21236
Lajas,1990,23271
Lajas,2000,26261
Lajas,2010,25753
Lares,1899,20883
Lares,1910,22650
Lares,1920,25197
Lares,1930,27351
Lares,1935,29358
Lares,1940,29914
Lares,1950,29951
Lares,1960,26922
Lares,1970,25263
Lares,1980,26743
Lares,1990,29015
Lares,2000,34415
Lares,2010,30753
Las Marías,1899,11279
Las Marías,1910,10046
Las Marías,1920,10736
Las Marías,1930,8881
Las Marías,1935,9144
Las Marías,1940,9626
Las Marías,1950,10807
Las Marías,1960,9237
Las Marías,1970,7841
Las Marías,1980,8747
Las Marías,1990,9306
Las Marías,2000,11061
Las Marías,2010,9881
Las Piedras 10,1899,--
Las Piedras 10,1910,--
Las Piedras 10,1920,10620
Las Piedras 10,1930,12907
Las Piedras 10,1935,15028
Las Piedras 10,1940,15389
Las Piedras 10,1950,16208
Las Piedras 10,1960,17047
Las Piedras 10,1970,18112
Las Piedras 10,1980,22412
Las Piedras 10,1990,27896
Las Piedras 10,2000,34485
Las Piedras 10,2010,38675
